Time Frame,Date,Ta (°C),Tm (°C),I3 (W/m2),P (kW)
8,3/21/12 8:51 AM,14.50875,17.06625,754.1226667,643.6844
9,3/21/12 9:51 AM,16.0705,24.18966667,617.2238333,524.5210167
10,3/21/12 10:51 AM,17.252,27.96483333,428.1265,352.3931167
11,3/21/12 11:51 AM,17.5265,29.40366667,201.0377083,153.9059375
12,3/21/12 12:51 PM,17.76116667,29.84516667,34.18316667,22.27023333
13,3/21/12 1:51 PM,17.82583333,28.55066667,0,0.1372
14,3/21/12 2:51 PM,17.50933333,25.97966667,0,0
15,3/21/12 3:51 PM,17.11533333,21.8085,0,0
16,3/21/12 4:41 PM,15.841,17.2572,0,0
17,3/21/12 5:55 PM,13.903,12.42683333,0,0
18,3/21/12 6:55 PM,12.59983333,9.973166667,1.315,0.86275
19,3/21/12 7:55 PM,12.83833333,11.17233333,63.94983333,47.49021667
20,3/21/12 8:55 PM,12.88583333,11.18116667,160.9261667,135.7190333
21,3/21/12 9:55 PM,12.79833333,10.9535,342.33375,271.1895208
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,3/22/12 4:55 AM,10.96916667,8.665,760.6766102,657.0421356
5,3/22/12 5:55 AM,10.892,6.975166667,856.7875,726.8557167
6,3/22/12 6:55 AM,11.17933333,7.0865,842.5841667,710.5634
7,3/22/12 7:55 AM,13.15066667,12.49216667,766.4225,635.5512
8,3/22/12 8:55 AM,15.43783333,16.96666667,636.4736667,532.2413833
10,3/22/12 10:50 AM,18.1786,29.464,443.3675,360.4308667
11,3/22/12 11:50 AM,19.11133333,32.2505,226.665,167.3230333
12,3/22/12 12:50 PM,19.79883333,32.75583333,42.486,27.67383333
13,3/22/12 1:50 PM,20.19616667,32.28016667,0,0.15285
14,3/22/12 2:50 PM,20.38916667,30.20033333,0,0
15,3/22/12 3:50 PM,20.23833333,26.72383333,0,0
16,3/22/12 4:50 PM,18.82533333,21.11533333,0,0
17,3/22/12 5:50 PM,16.40016667,14.88133333,0,0
18,3/22/12 6:50 PM,14.19816667,10.3175,0.522333333,0.179133333
19,3/22/12 7:50 PM,12.80033333,7.753333333,28.041,18.53453333
20,3/22/12 8:50 PM,12.12,6.911166667,135.1756667,115.5496833
21,3/22/12 9:50 PM,10.98683333,6.035833333,289.7011667,251.5338333
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,3/23/12 4:50 AM,11.00833333,9.592333333,421.6736667,378.5288167
5,3/23/12 5:50 AM,11.566,10.16783333,485.3095,424.7318833
6,3/23/12 6:50 AM,11.739,10.4575,585.5826667,496.25915
7,3/23/12 7:50 AM,12.75083333,12.40283333,504.3145,428.1002833
8,3/23/12 8:50 AM,14.618,16.43016667,526.8448333,456.6731667
9,3/23/12 9:50 AM,17.30916667,25.98633333,364.9536667,311.3038333
10,3/23/12 10:50 AM,19.93,33.31633333,222.7165,195.3660833
11,3/23/12 11:50 AM,22.3615,42.713,137.2983333,120.60845
12,3/23/12 12:50 PM,23.74816667,42.51416667,45.07283333,38.50333333
13,3/23/12 1:50 PM,24.70033333,43.8865,0.077166667,0.323483333
14,3/23/12 2:50 PM,22.64216667,31.773,0,0
15,3/23/12 3:50 PM,21.98733333,26.523,0,0
16,3/23/12 4:50 PM,21.00333333,23.34966667,0,0
17,3/23/12 5:50 PM,19.538,18.84816667,0,0
18,3/23/12 6:50 PM,17.38066667,14.10516667,1.273,0.612
19,3/23/12 7:50 PM,15.54983333,12.3185,61.8895,46.17871667
20,3/23/12 8:50 PM,14.24166667,10.42483333,143.5571667,121.8046
21,3/23/12 9:40 PM,13.8204,10.5424,459.3535,386.3620667
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,3/24/12 4:50 AM,11.58666667,10.2755,632.722,556.4359667
5,3/24/12 5:50 AM,11.89683333,10.4835,574.5003333,497.9264167
6,3/24/12 6:50 AM,12.35183333,11.55583333,442.133,387.7568833
7,3/24/12 7:50 AM,13.205,14.16216667,585.1931667,495.29815
8,3/24/12 8:50 AM,15.54183333,23.24783333,587.9426667,495.6019833
9,3/24/12 9:50 AM,18.69466667,36.66966667,639.4151667,525.332
10,3/24/12 10:50 AM,21.66566667,43.60083333,442.1016667,358.03105
11,3/24/12 11:50 AM,22.62166667,37.60316667,155.0815,122.2874333
12,3/24/12 12:50 PM,22.59716667,34.30183333,49.56116667,34.60256667
13,3/24/12 1:50 PM,22.00666667,32.29383333,0,0.2108
14,3/24/12 2:50 PM,22.446,33.80416667,0,0
15,3/24/12 3:50 PM,21.89416667,28.17183333,0,0
16,3/24/12 4:50 PM,20.25133333,21.45116667,0,0
17,3/24/12 5:50 PM,17.84083333,16.35616667,0,0
18,3/24/12 6:50 PM,15.23483333,12.4095,1.821666667,0.991516667
19,3/24/12 7:50 PM,13.764,11.00966667,83.73283333,67.4842
20,3/24/12 8:50 PM,13.12116667,9.868666667,249.5011667,216.6265
21,3/24/12 9:40 PM,12.0798,7.6596,462.4031667,398.5008667
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,3/25/12 4:50 AM,10.33316667,7.275833333,634.9316667,555.9442667
5,3/25/12 5:50 AM,10.49916667,7.843333333,714.4388333,594.8364833
6,3/25/12 6:50 AM,11.305,9.6435,815.1321667,683.9198
7,3/25/12 7:50 AM,13.84516667,15.03616667,812.6848333,673.2267
8,3/25/12 8:50 AM,16.201,23.38833333,718.2805,596.5344333
9,3/25/12 9:50 AM,18.80266667,34.59416667,456.9908333,383.8112
10,3/25/12 10:50 AM,20.75333333,34.9685,319.3908333,269.9077667
11,3/25/12 11:50 AM,21.45233333,35.36233333,175.2026667,141.4717167
12,3/25/12 12:50 PM,21.52466667,34.471,51.52516667,40.80573333
13,3/25/12 1:50 PM,21.04316667,32.47833333,0.058,0.296183333
14,3/25/12 2:50 PM,19.70066667,25.56483333,0,0
15,3/25/12 3:50 PM,19.30416667,23.85833333,0,0
16,3/25/12 4:50 PM,18.1125,19.60333333,0,0
17,3/25/12 5:50 PM,16.38383333,15.5775,0,0
18,3/25/12 6:50 PM,14.72916667,11.4445,2.244333333,1.409566667
19,3/25/12 7:50 PM,13.64933333,9.169666667,76.73,54.08248333
20,3/25/12 8:50 PM,12.752,7.914833333,248.0258333,219.73365
21,3/25/12 9:40 PM,12.0442,8.1912,452.76,393.1912167
22,0,0,0,0,0
